,Artist,Trackname,Date,Artist_Trackname,Streams
49,Avicii,Without You (feat. Sandro Cavazza),2017-09-28,Avicii Without You (feat. Sandro Cavazza),1940060
50,Avicii,Without You (feat. Sandro Cavazza),2017-09-29,Avicii Without You (feat. Sandro Cavazza),1981370
51,Avicii,Without You (feat. Sandro Cavazza),2017-09-30,Avicii Without You (feat. Sandro Cavazza),1831716
52,Avicii,Without You (feat. Sandro Cavazza),2017-10-01,Avicii Without You (feat. Sandro Cavazza),1545015
53,Avicii,Without You (feat. Sandro Cavazza),2017-10-02,Avicii Without You (feat. Sandro Cavazza),1729788
54,Avicii,Without You (feat. Sandro Cavazza),2017-10-03,Avicii Without You (feat. Sandro Cavazza),1787098
55,Avicii,Without You (feat. Sandro Cavazza),2017-10-04,Avicii Without You (feat. Sandro Cavazza),1784293
56,Avicii,Without You (feat. Sandro Cavazza),2017-10-05,Avicii Without You (feat. Sandro Cavazza),1769895
57,Avicii,Without You (feat. Sandro Cavazza),2017-10-06,Avicii Without You (feat. Sandro Cavazza),1795969
58,Avicii,Without You (feat. Sandro Cavazza),2017-10-07,Avicii Without You (feat. Sandro Cavazza),1477167
59,Avicii,Without You (feat. Sandro Cavazza),2017-10-08,Avicii Without You (feat. Sandro Cavazza),1265498
60,Avicii,Without You (feat. Sandro Cavazza),2017-10-09,Avicii Without You (feat. Sandro Cavazza),1363766
61,Avicii,Without You (feat. Sandro Cavazza),2017-10-10,Avicii Without You (feat. Sandro Cavazza),1411426
62,Avicii,Without You (feat. Sandro Cavazza),2017-10-11,Avicii Without You (feat. Sandro Cavazza),1418619
63,Avicii,Without You (feat. Sandro Cavazza),2017-10-12,Avicii Without You (feat. Sandro Cavazza),1397964
64,Avicii,Without You (feat. Sandro Cavazza),2017-10-13,Avicii Without You (feat. Sandro Cavazza),1484866
65,Avicii,Without You (feat. Sandro Cavazza),2017-10-14,Avicii Without You (feat. Sandro Cavazza),1395647
66,Avicii,Without You (feat. Sandro Cavazza),2017-10-15,Avicii Without You (feat. Sandro Cavazza),1180105
67,Avicii,Without You (feat. Sandro Cavazza),2017-10-16,Avicii Without You (feat. Sandro Cavazza),1257063
68,Avicii,Without You (feat. Sandro Cavazza),2017-10-17,Avicii Without You (feat. Sandro Cavazza),1314826
69,Avicii,Without You (feat. Sandro Cavazza),2017-10-18,Avicii Without You (feat. Sandro Cavazza),1303934
70,Avicii,Without You (feat. Sandro Cavazza),2017-10-19,Avicii Without You (feat. Sandro Cavazza),1293087
71,Avicii,Without You (feat. Sandro Cavazza),2017-10-20,Avicii Without You (feat. Sandro Cavazza),1363888
72,Avicii,Without You (feat. Sandro Cavazza),2017-10-21,Avicii Without You (feat. Sandro Cavazza),1323857
73,Avicii,Without You (feat. Sandro Cavazza),2017-10-22,Avicii Without You (feat. Sandro Cavazza),1098179
74,Avicii,Without You (feat. Sandro Cavazza),2017-10-23,Avicii Without You (feat. Sandro Cavazza),1215022
75,Avicii,Without You (feat. Sandro Cavazza),2017-10-24,Avicii Without You (feat. Sandro Cavazza),1249925
76,Avicii,Without You (feat. Sandro Cavazza),2017-10-25,Avicii Without You (feat. Sandro Cavazza),1248186
77,Avicii,Without You (feat. Sandro Cavazza),2017-10-26,Avicii Without You (feat. Sandro Cavazza),1213836
78,Avicii,Without You (feat. Sandro Cavazza),2017-10-27,Avicii Without You (feat. Sandro Cavazza),1290322
79,Avicii,Without You (feat. Sandro Cavazza),2017-10-28,Avicii Without You (feat. Sandro Cavazza),1234738
80,Avicii,Without You (feat. Sandro Cavazza),2017-10-29,Avicii Without You (feat. Sandro Cavazza),1032354
81,Avicii,Without You (feat. Sandro Cavazza),2017-10-30,Avicii Without You (feat. Sandro Cavazza),1156452
82,Avicii,Without You (feat. Sandro Cavazza),2017-10-31,Avicii Without You (feat. Sandro Cavazza),1156961
83,Avicii,Without You (feat. Sandro Cavazza),2017-11-01,Avicii Without You (feat. Sandro Cavazza),1091929
84,Avicii,Without You (feat. Sandro Cavazza),2017-11-02,Avicii Without You (feat. Sandro Cavazza),1125320
85,Avicii,Without You (feat. Sandro Cavazza),2017-11-03,Avicii Without You (feat. Sandro Cavazza),1172716
86,Avicii,Without You (feat. Sandro Cavazza),2017-11-04,Avicii Without You (feat. Sandro Cavazza),1092376
87,Avicii,Without You (feat. Sandro Cavazza),2017-11-05,Avicii Without You (feat. Sandro Cavazza),902163
88,Avicii,Without You (feat. Sandro Cavazza),2017-11-06,Avicii Without You (feat. Sandro Cavazza),998325
89,Avicii,Without You (feat. Sandro Cavazza),2017-11-07,Avicii Without You (feat. Sandro Cavazza),996355
90,Avicii,Without You (feat. Sandro Cavazza),2017-11-08,Avicii Without You (feat. Sandro Cavazza),982715
91,Avicii,Without You (feat. Sandro Cavazza),2017-11-09,Avicii Without You (feat. Sandro Cavazza),915401
92,Avicii,Without You (feat. Sandro Cavazza),2017-11-10,Avicii Without You (feat. Sandro Cavazza),943094
